country,x,y
Ukraine,127,-47.0
France,-176,-76
Spain,-268,-151
Sweden,-34,93
Germany,-85,-28
Finland,56,142
Norway,-70,117
Poland,7,-13
Italy,-83,-148
United Kingdom,-200,14
Romania,67,-109
Belarus,88,10
Greece,31,-205
Bulgaria,66,-155
Iceland,-233,228
Portugal,-328,-143
Czech Republic,-45,-50
Denmark,-87,44
Hungary,4,-93
Serbia,17,-139
Austria,-54,-85
Ireland,-252,39
Lithuania,34,36
Latvia,56,54
Croatia,-26,-113
Bosnia,-20,-135
Slovakia,-4,-72
Estonia,49,83
Netherlands,-132,-3
Switzerland,-124,-88
Moldova,103,-82
Belgium,-145,-24
Albania,11,-187
Macedonia,30,-175
Slovenia,-46,-105
Montenegro,1,-153
Turkey,182,-194

